JD	Magnitude	Uncertainty	HQuncertainty	Band	Observer Code	Comment Code(s)	Comp Star 1	Comp Star 2	Charts	Comments	Transfomed	Airmass	Validation Flag	Cmag	Kmag	HJD	Star Name	Observer Affiliation	Measurement Method	Grouping Method	ADS Reference	Digitizer	Credit
2440763.5	6.5			Vis.	LKS								V				X CYG		STD				
2440764.479	6.2			Vis.	LKS								V				X CYG		STD				
2440765.5	6.0			Vis.	LKS								V				X CYG		STD				
2440765.6	6.2			Vis.	OV								V				X CYG		STD				
2440766.6	6.2			Vis.	OV								V				X CYG		STD				
2440766.7	6.1			Vis.	BRJ								V				X CYG		STD				
2440767.458	6.1			Vis.	LKS								V				X CYG		STD				
2440773.6	7.0			Vis.	OV								V				X CYG		STD				
2440774.6	7.1			Vis.	OV								V				X CYG		STD				
2440775.6	7.3			Vis.	BRJ								V				X CYG		STD				
2440775.6	7.2			Vis.	OV								V				X CYG		STD				
2440780.6	7.0			Vis.	BRJ								V				X CYG		STD				
2440780.6	7.0			Vis.	OV								V				X CYG		STD				
2440784.6	6.5			Vis.	OV								V				X CYG		STD				
2440784.7	6.1			Vis.	BRJ								V				X CYG		STD				
2440785.6	6.2			Vis.	OV								V				X CYG		STD				
2440786.439	6.2			Vis.	LKS								V				X CYG		STD				
2440789.6	6.8			Vis.	BRJ								V				X CYG		STD				
2440789.6	6.9			Vis.	OV								V				X CYG		STD				
2440795.6	7.1			Vis.	BRJ								V				X CYG		STD				
2440797.438	6.4			Vis.	LKS								V				X CYG		STD				
2440797.7	5.8			Vis.	CR								V				X CYG		STD				
2440799.7	6.1			Vis.	AC								V				X CYG		STD				
2440800.7	6.1			Vis.	AC								V				X CYG		STD				
2440801.7	6.1			Vis.	AC								V				X CYG		STD				
2440803.6	6.4			Vis.	AC								V				X CYG		STD				
2440804.6	6.6			Vis.	AC								V				X CYG		STD				
2440805.469	6.2			Vis.	LKS								V				X CYG		STD				
2440805.7	6.7			Vis.	AC								V				X CYG		STD				
2440805.8	6.7			Vis.	HTM								V				X CYG		STD				
2440806.458	6.3			Vis.	LKS								V				X CYG		STD				
2440806.8	6.6			Vis.	HTM								V				X CYG		STD				
2440807.8	6.4			Vis.	HTM								V				X CYG		STD				
2440809.8	7.0			Vis.	HTM								V				X CYG		STD				
2440810.438	6.3			Vis.	LKS								V				X CYG		STD				
2440810.6	7.1			Vis.	OV								V				X CYG		STD				
2440811.6	7.2			Vis.	OV								V				X CYG		STD				
2440812.438	6.4			Vis.	LKS								V				X CYG		STD				
2440812.6	6.9			Vis.	BRJ								V				X CYG		STD				
2440814.7	6.0			Vis.	AC								V				X CYG		STD				
2440816.6	6.1			Vis.	BRJ								V				X CYG		STD				
2440818.438	6.2			Vis.	LKS								V				X CYG		STD				
2440818.6	6.1			Vis.	AC								V				X CYG		STD				
2440819.7	6.3			Vis.	AC								V				X CYG		STD				
2440820.6	6.7			Vis.	OV								V				X CYG		STD				
2440821.7	6.4			Vis.	AC								V				X CYG		STD				
2440822.8	6.6			Vis.	AC								V				X CYG		STD				
2440823.467	6.5			Vis.	LKS								V				X CYG		STD				
2440823.6	6.8			Vis.	AC								V				X CYG		STD				
2440823.6	7.2			Vis.	OV								V				X CYG		STD				
2440824.6	7.3			Vis.	BRJ								V				X CYG		STD				
2440824.7	7.0			Vis.	AC								V				X CYG		STD				
2440825.426	6.2			Vis.	LKS								V				X CYG		STD				
2440825.6	7.2			Vis.	BRJ								V				X CYG		STD				
2440825.6	7.3			Vis.	OV								V				X CYG		STD				
2440826.438	6.2			Vis.	LKS								V				X CYG		STD				
2440826.6	6.8			Vis.	AC								V				X CYG		STD				
2440826.6	7.3			Vis.	BRJ								V				X CYG		STD				
2440827.417	6.4			Vis.	LKS								V				X CYG		STD				
2440827.6	6.8			Vis.	AC								V				X CYG		STD				
2440829.417	6.4			Vis.	LKS								V				X CYG		STD				
2440829.6	6.7			Vis.	AC								V				X CYG		STD				
2440830.417	6.5			Vis.	LKS								V				X CYG		STD				
2440830.6	6.7			Vis.	AC								V				X CYG		STD				
2440830.6	6.5			Vis.	OV								V				X CYG		STD				
2440831.6	6.2			Vis.	OV								V				X CYG		STD				
2440834.6	6.1			Vis.	BRJ								V				X CYG		STD				
2440834.6	6.8			Vis.	OV								V				X CYG		STD				
2440834.7	6.3			Vis.	AC								V				X CYG		STD				
2440835.6	6.1			Vis.	AC								V				X CYG		STD				
2440835.6	6.7			Vis.	OV								V				X CYG		STD				
2440836.6	6.8			Vis.	OV								V				X CYG		STD				
2440837.6	6.9			Vis.	OV								V				X CYG		STD				
2440837.9	6.8			Vis.	AC								V				X CYG		STD				
2440838.6	6.7			Vis.	AC								V				X CYG		STD				
2440840.8	7.0			Vis.	AC								V				X CYG		STD				
2440841.6	7.3			Vis.	OV								V				X CYG		STD				
2440842.6	7.4			Vis.	BRJ								V				X CYG		STD				
2440842.6	7.2			Vis.	OV								V				X CYG		STD				
2440848.6	6.0			Vis.	AC								V				X CYG		STD				
2440849.6	6.1			Vis.	AC								V				X CYG		STD				
2440849.6	6.2			Vis.	BRJ								V				X CYG		STD				
2440849.6	6.4			Vis.	OV								V				X CYG		STD				
2440850.6	6.0			Vis.	AC								V				X CYG		STD				
2440852.6	6.0			Vis.	AC								V				X CYG		STD				
2440852.6	6.5			Vis.	OV								V				X CYG		STD				
2440855.6	6.6			Vis.	AC								V				X CYG		STD				
2440858.8	7.0			Vis.	AC								V				X CYG		STD				
2440859.6	7.0			Vis.	AC								V				X CYG		STD				
2440860.6	6.8			Vis.	AC								V				X CYG		STD				
2440864.6	6.2			Vis.	AC								V				X CYG		STD				
2440866.6	6.6			Vis.	BRJ								V				X CYG		STD				
2440866.6	6.4			Vis.	OV								V				X CYG		STD				
2440870.6	6.7			Vis.	SLB								V				X CYG		STD				
2440871.6	6.6			Vis.	SLB								V				X CYG		STD				
2440872.6	6.5			Vis.	SLB								V				X CYG		STD				
2440877.6	7.2			Vis.	OV								V				X CYG		STD				
2440878.6	6.4			Vis.	AC								V				X CYG		STD				
2440878.6	7.3			Vis.	OV								V				X CYG		STD				
2440879.6	6.2			Vis.	AC								V				X CYG		STD				
2440879.6	6.3			Vis.	BRJ								V				X CYG		STD				
2440887.6	6.8			Vis.	SLB								V				X CYG		STD				
2440888.6	7.2			Vis.	BRJ								V				X CYG		STD				
2440888.6	6.9			Vis.	SLB								V				X CYG		STD				
2440889.6	7.0			Vis.	SLB								V				X CYG		STD				
2440889.8	6.9			Vis.	CR								V				X CYG		STD				
2440890.6	6.8			Vis.	SLB								V				X CYG		STD				
2440892.6	6.8			Vis.	SLB								V				X CYG		STD				
2440893.5	6.6			Vis.	SLB								V				X CYG		STD				
2440894.6	6.6			Vis.	SLB								V				X CYG		STD				
2440895.6	6.6			Vis.	SLB								V				X CYG		STD				
2440896.5	6.2			Vis.	SLB								V				X CYG		STD				
2440896.7	6.1			Vis.	AC								V				X CYG		STD				
2440897.5	6.0			Vis.	SLB								V				X CYG		STD				
2440897.6	6.1			Vis.	BRJ								V				X CYG		STD				
2440897.6	6.2			Vis.	OV								V				X CYG		STD				
2440897.7	5.8			Vis.	AC								V				X CYG		STD				
2440898.315	6.7			Vis.	LKS								V				X CYG		STD				
2440898.5	6.0			Vis.	SLB								V				X CYG		STD				
2440899.6	6.1			Vis.	BRJ								V				X CYG		STD				
2440899.6	6.2			Vis.	SLB								V				X CYG		STD				
2440901.6	6.4			Vis.	SLB								V				X CYG		STD				
2440903.6	6.5			Vis.	SLB								V				X CYG		STD				
2440904.6	6.6			Vis.	SLB								V				X CYG		STD				
2440905.5	6.8			Vis.	SLB								V				X CYG		STD				
2440907.5	7.3			Vis.	OV								V				X CYG		STD				
2440908.5	7.3			Vis.	OV								V				X CYG		STD				
2440908.5	7.0			Vis.	SLB								V				X CYG		STD				
2440909.5	6.9			Vis.	SLB								V				X CYG		STD				
2440911.5	6.7			Vis.	SLB								V				X CYG		STD				
2440912.5	6.8			Vis.	OV								V				X CYG		STD				
2440912.5	6.2			Vis.	SLB								V				X CYG		STD				
2440913.5	5.9			Vis.	SLB								V				X CYG		STD				
2440914.5	6.1			Vis.	SLB								V				X CYG		STD				
2440915.5	6.3			Vis.	SLB								V				X CYG		STD				
2440915.6	6.1			Vis.	BRJ								V				X CYG		STD				
2440918.5	6.4			Vis.	SLB								V				X CYG		STD				
2440920.5	6.6			Vis.	SLB								V				X CYG		STD				
2440921.5	6.8			Vis.	SLB								V				X CYG		STD				
2440921.6	7.2			Vis.	BRJ								V				X CYG		STD				
2440921.6	7.1			Vis.	OV								V				X CYG		STD				
2440922.5	6.9			Vis.	SLB								V				X CYG		STD				
2440923.6	7.2			Vis.	OV								V				X CYG		STD				
2440924.5	7.0			Vis.	SLB								V				X CYG		STD				
2440925.5	7.1			Vis.	SLB								V				X CYG		STD				
2440926.5	6.7			Vis.	SLB								V				X CYG		STD				
2440927.5	6.6			Vis.	SLB								V				X CYG		STD				
2440928.5	7.1			Vis.	OV								V				X CYG		STD				
2440928.5	6.4			Vis.	SLB								V				X CYG		STD				
2440930.5	5.8			Vis.	SLB								V				X CYG		STD				
2440931.5	5.9			Vis.	SLB								V				X CYG		STD				
2440934.5	6.3			Vis.	SLB								V				X CYG		STD				
2440935.5	6.4			Vis.	SLB								V				X CYG		STD				
2440936.6	7.1			Vis.	BRJ								V				X CYG		STD				
2440937.5	6.6			Vis.	SLB								V				X CYG		STD				
2440939.5	6.8			Vis.	SLB								V				X CYG		STD				
2440942.5	6.9			Vis.	SLB								V				X CYG		STD				
2440943.5	6.6			Vis.	SLB								V				X CYG		STD				
2440944.5	6.4			Vis.	SLB								V				X CYG		STD				
2440946.5	5.9			Vis.	SLB								V				X CYG		STD				
2440947.5	6.0			Vis.	SLB								V				X CYG		STD				
2440948.5	6.1			Vis.	SLB								V				X CYG		STD				
2440949.5	6.3			Vis.	BRJ								V				X CYG		STD				
2440949.5	6.1			Vis.	SLB								V				X CYG		STD				
2440950.5	6.2			Vis.	SLB								V				X CYG		STD				
2440951.5	6.3			Vis.	SLB								V				X CYG		STD				
2440951.6	6.7			Vis.	OV								V				X CYG		STD				
2440953.5	6.5			Vis.	SLB								V				X CYG		STD				
2440954.6	6.6			Vis.	SLB								V				X CYG		STD				
2440955.5	7.3			Vis.	BRJ								V				X CYG		STD				
2440955.5	7.1			Vis.	OV								V				X CYG		STD				
2440956.5	6.8			Vis.	SLB								V				X CYG		STD				
2440956.6	6.8			Vis.	AD								V				X CYG		STD				
2440960.5	6.6			Vis.	SLB								V				X CYG		STD				
2440961.5	6.3			Vis.	SLB								V				X CYG		STD				
2440964.5	6.5			Vis.	OV								V				X CYG		STD				
2440964.5	6.5			Vis.	BRJ								V				X CYG		STD				
2440975.5	7.1			Vis.	OV								V				X CYG		STD				
2441008.9	7.1			Vis.	BRJ								V				X CYG		STD				
2441036.9	7.0			Vis.	SLB								V				X CYG		STD				
2441037.9	7.0			Vis.	SLB								V				X CYG		STD				
2441039.9	6.8			Vis.	SLB								V				X CYG		STD				
2441044.9	6.1			Vis.	SLB								V				X CYG		STD				
2441075.4	6.3			Vis.	KIS								V				X CYG	AFOEV	STD				
2441094.7	6.2			Vis.	OV								V				X CYG		STD				
2441104.6	7.2			Vis.	OV								V				X CYG		STD				
2441108.7	6.8			Vis.	OV								V				X CYG		STD				
2441113.6	6.7			Vis.	OV								V				X CYG		STD				
2441114.6	6.6			Vis.	OV								V				X CYG		STD				
2441114.8	6.4			Vis.	CR								V				X CYG		STD				
2441115.8	6.3			Vis.	CR								V				X CYG		STD				
2441120.6	7.2			Vis.	OV								V				X CYG		STD				
2441121.6	7.3			Vis.	OV								V				X CYG		STD				
2441121.8	6.8			Vis.	CR								V				X CYG		STD				
2441122.7	7.0			Vis.	OV								V				X CYG		STD				
2441125.6	6.3			Vis.	OV								V				X CYG		STD				
2441125.7	6.4			Vis.	CR								V				X CYG		STD				
2441129.7	6.5			Vis.	OV								V				X CYG		STD				
2441130.6	6.7			Vis.	OV								V				X CYG		STD				
2441135.6	7.2			Vis.	OV								V				X CYG		STD				
2441136.6	7.1			Vis.	OV								V				X CYG		STD				
2441137.4	7.1			Vis.	LKS								V				X CYG		STD				
2441137.6	7.1			Vis.	OV								V				X CYG		STD				
2441138.4	7.0			Vis.	LKS								V				X CYG		STD				
2441138.6	7.1			Vis.	OV								V				X CYG		STD				
2441139.4	6.8			Vis.	LKS								V				X CYG		STD				
2441140.4	6.8			Vis.	LKS								V				X CYG		STD				
2441140.6	7.1			Vis.	OV								V				X CYG		STD				
2441141.4	6.5			Vis.	LKS								V				X CYG		STD				
2441142.4	6.4			Vis.	LKS								V				X CYG		STD				
2441145.6	6.5			Vis.	OV								V				X CYG		STD				
2441145.7	6.3			Vis.	CR								V				X CYG		STD				
2441146.4	6.4			Vis.	LKS								V				X CYG		STD				
2441148.4	6.7			Vis.	LKS								V				X CYG		STD				
2441148.6	6.7			Vis.	OV								V				X CYG		STD				
2441149.4	6.8			Vis.	LKS								V				X CYG		STD				
2441150.4	6.6			Vis.	LKS								V				X CYG		STD				
2441150.6	7.1			Vis.	OV								V				X CYG		STD				
2441151.3	7.0			Vis.	LKS								V				X CYG		STD				
2441151.6	7.2			Vis.	OV								V				X CYG		STD				
2441151.7	6.9			Vis.	CR								V				X CYG		STD				
2441153.4	7.1			Vis.	LKS								V				X CYG		STD				
2441154.4	7.0			Vis.	LKS								V				X CYG		STD				
2441158.5	6.4			Vis.	LKS								V				X CYG		STD				
2441160.4	6.4			Vis.	LKS								V				X CYG		STD				
2441161.4	6.4			Vis.	LKS								V				X CYG		STD				
2441163.4	6.4			Vis.	LKS								V				X CYG		STD				
2441164.7	6.1			Vis.	CR								V				X CYG		STD				
2441169.6	7.2			Vis.	OV								V				X CYG		STD				
2441171.6	7.0			Vis.	BIL								V				X CYG		STD				
2441172.6	6.9			Vis.	OV								V				X CYG		STD				
2441176.7	6.2			Vis.	OV								V				X CYG		STD				
2441177.6	6.2			Vis.	OV								V				X CYG		STD				
