JD	Magnitude	Uncertainty	HQuncertainty	Band	Observer Code	Comment Code(s)	Comp Star 1	Comp Star 2	Charts	Comments	Transfomed	Airmass	Validation Flag	Cmag	Kmag	HJD	Star Name	Observer Affiliation	Measurement Method	Grouping Method	ADS Reference	Digitizer	Credit
2440670.7	4.0			Vis.	CR								V				ZET GEM		STD				
2440670.7	3.8			Vis.	SKL								V				ZET GEM		STD				
2440672.7	4.2			Vis.	CR								V				ZET GEM		STD				
2440673.6	3.8			Vis.	HDG								V				ZET GEM		STD				
2440673.6	4.0			Vis.	RNR								V				ZET GEM		STD				
2440674.5	4.1			Vis.	HDG								V				ZET GEM		STD				
2440675.7	4.3			Vis.	CR								V				ZET GEM		STD				
2440676.5	3.9			Vis.	HDG								V				ZET GEM		STD				
2440679.6	3.8			Vis.	HDG								V				ZET GEM		STD				
2440680.5	3.7			Vis.	HDG								V				ZET GEM		STD				
2440680.8	3.4			Vis.	AC								V				ZET GEM		STD				
2440681.6	3.6			Vis.	BUW								V				ZET GEM		STD				
2440681.6	3.8			Vis.	HDG								V				ZET GEM		STD				
2440682.5	4.1			Vis.	HDG								V				ZET GEM		STD				
2440683.5	3.9			Vis.	WRD								V				ZET GEM		STD				
2440683.7	4.2			Vis.	BUW								V				ZET GEM		STD				
2440683.7	4.3			Vis.	CR								V				ZET GEM		STD				
2440684.6	4.0			Vis.	HDG								V				ZET GEM		STD				
2440685.6	3.9			Vis.	HDG								V				ZET GEM		STD				
2440686.6	3.7			Vis.	HDG								V				ZET GEM		STD				
2440692.6	4.0			Vis.	HDG								V				ZET GEM		STD				
2440693.6	3.9			Vis.	HDG								V				ZET GEM		STD				
2440698.6	3.8			Vis.	HDG								V				ZET GEM		STD				
2440700.6	3.7			Vis.	HDG								V				ZET GEM		STD				
2440701.6	3.9			Vis.	HDG								V				ZET GEM		STD				
2440702.6	3.9			Vis.	HDG								V				ZET GEM		STD				
2440702.7	3.7			Vis.	AC								V				ZET GEM		STD				
2440703.6	3.6			Vis.	AC								V				ZET GEM		STD				
2440703.6	4.1			Vis.	HDG								V				ZET GEM		STD				
2440704.6	3.9			Vis.	HDG								V				ZET GEM		STD				
2440705.6	3.7			Vis.	AC								V				ZET GEM		STD				
2440705.6	3.8			Vis.	HDG								V				ZET GEM		STD				
2440705.7	3.3			Vis.	SKL								V				ZET GEM		STD				
2440706.6	3.8			Vis.	HDG								V				ZET GEM		STD				
2440708.6	3.6			Vis.	HDG								V				ZET GEM		STD				
2440709.6	3.6			Vis.	HDG								V				ZET GEM		STD				
