Results from heasarc_fermigbrst: Fermi GBM Burst Catalog
Coordinate system:  Equatorial
|name        |ra        |dec      |trigger_time           |t90     |t90_error|t90_start|fluence   |fluence_error|flux_1024|flux_1024_error|flux_1024_time|flux_64  |flux_64_error|flnc_band_ampl|flnc_band_ampl_pos_err|flnc_band_ampl_neg_err|flnc_band_epeak|flnc_band_epeak_pos_err|flnc_band_epeak_neg_err|flnc_band_alpha|flnc_band_alpha_pos_err|flnc_band_alpha_neg_err|flnc_band_beta|flnc_band_beta_pos_err|flnc_band_beta_neg_err|flnc_spectrum_start|flnc_spectrum_stop|pflx_best_fitting_model|pflx_best_model_redchisq|flnc_best_fitting_model|flnc_best_model_redchisq|
|GRB100719311|20 19 28.8|-67 08 24|2010-07-19 07:28:17.623|   1.600|    0.854|   -1.536|3.8679e-07|   3.6631e-08|   1.9031|         0.1983|        -0.832|   3.8773|       0.8274|  9.337032e-03|          1.574073e-03|          1.574073e-03|   1.189092e+03|           5.481671e+02|           5.481671e+02|  -8.065798e-01|           2.040080e-01|           2.040080e-01| -2.096406e+00|          3.742141e+01|          3.742141e+01|             -0.576|            -0.128|pflx_plaw              |                   0.978|flnc_plaw              |                   1.099|
|GRB180703876|00 26 09.6|-67 06 00|2018-07-03 21:01:40.495|  20.736|    1.557|    1.536|1.6251e-05|   4.2888e-08|  11.3138|         0.2636|         3.712|  12.7752|       1.0285|  1.254432e-02|          7.251892e-04|          7.251892e-04|   3.507898e+02|           3.224808e+01|           3.224808e+01|  -7.756252e-01|           4.122126e-02|           4.122126e-02| -1.966854e+00|          1.031804e-01|          1.031804e-01|             -2.048|            29.696|pflx_sbpl              |                   0.988|flnc_band              |                   1.061|
|GRB180906597|06 59 14.4|-67 01 12|2018-09-06 14:19:51.779|  52.030|    2.127|    0.003|3.7165e-06|   3.1434e-08|   2.8580|         0.1997|         3.456|   5.0277|       1.0086|              |                      |                      |               |                       |                       |               |                       |                       |              |                      |                      |                   |                  |                       |                        |                       |                        |
|GRB110911071|17 14 19.2|-66 58 48|2011-09-11 01:41:41.569|   8.960|    4.352|   -4.608|5.9377e-07|   8.3461e-08|   2.3830|         0.4095|        -0.512|   6.6859|       3.0596|              |                      |                      |               |                       |                       |               |                       |                       |              |                      |                      |                   |                  |                       |                        |                       |                        |
|GRB131118958|23 19 27.1|-66 49 59|2013-11-18 22:58:57.465|  85.249|    4.382|    5.632|6.7540e-05|   4.0312e-07|  12.5062|         0.9283|        62.593|  20.7473|       4.8017|  2.205259e-02|          6.575901e-04|          6.575901e-04|   3.259861e+02|           1.035352e+01|           1.035352e+01|  -8.206120e-01|           3.324670e-02|           3.324670e-02| -4.371963e+00|          2.928497e+01|          2.928497e+01|             -1.024|           136.190|pflx_comp              |                   1.089|flnc_comp              |                   1.097|
|GRB170323775|23 15 19.2|-66 48 36|2017-03-23 18:36:28.736|  35.328|    5.400|   -8.960|3.7589e-06|   2.5270e-08|   2.7039|         0.2187|        11.712|   5.5859|       1.1178|  1.452579e-02|          2.692308e-03|          2.692308e-03|   1.124341e+02|           7.785812e+00|           7.785812e+00|  -4.345279e-01|           1.225951e-01|           1.225951e-01| -3.289078e+00|          7.315798e+01|          7.315798e+01|             -9.216|            18.432|pflx_plaw              |                   0.904|flnc_comp              |                   0.909|
|GRB181128751|12 11 16.8|-66 44 24|2018-11-28 18:01:54.190|  17.664|    1.619|   -0.768|1.5219e-06|   4.2012e-08|   3.1973|         0.2117|         1.344|   4.9764|       1.1237|              |                      |                      |               |                       |                       |               |                       |                       |              |                      |                      |                   |                  |                       |                        |                       |                        |
|GRB181208188|06 56 26.4|-66 39 36|2018-12-08 04:30:44.013|  62.465|    4.167|   -3.584|8.1001e-06|   3.8653e-08|   3.3359|         0.3124|        12.352|   6.3271|       1.8302|              |                      |                      |               |                       |                       |               |                       |                       |              |                      |                      |                   |                  |                       |                        |                       |                        |
|GRB160303971|20 08 48.0|-65 40 48|2016-03-03 23:18:32.560|  27.136|    6.987|   -1.792|1.3771e-06|   3.5572e-08|   1.9650|         0.2054|        -0.192|   3.6532|       1.1770|  3.167457e-03|          7.286463e-04|          7.286463e-04|   1.864337e+02|           5.785241e+01|           5.785241e+01|  -1.319120e+00|           1.411017e-01|           1.411017e-01| -1.467321e+01|          1.002893e+07|          1.002893e+07|             -3.072|            14.336|pflx_plaw              |                   1.006|flnc_comp              |                   1.045|
|GRB120426090|07 26 08.9|-65 37 52|2012-04-26 02:09:14.331|   2.688|    0.091|    0.288|2.1049e-05|   2.2645e-08|  82.3035|         0.8009|         0.864|  93.5051|       3.3946|  1.710488e-01|          9.390920e-03|          9.390920e-03|   1.246208e+02|           3.753571e+00|           3.753571e+00|  -7.188883e-01|           3.232461e-02|           3.232461e-02| -2.829946e+00|          1.394038e-01|          1.394038e-01|             -1.024|             7.168|pflx_comp              |                   1.237|flnc_band              |                   1.288|
|GRB130727698|22 03 11.8|-65 32 18|2013-07-27 16:45:20.911|  12.992|    0.871|   -1.024|8.1625e-06|   6.3628e-08|  11.1274|         0.5557|         6.144|  15.8957|       2.6527|  2.135671e-02|          4.191646e-03|          4.191646e-03|   1.176695e+02|           2.180554e+01|           2.180554e+01|  -1.098387e+00|           1.202257e-01|           1.202257e-01| -2.179419e+00|          1.876841e-01|          1.876841e-01|             -2.048|            14.336|pflx_comp              |                   0.884|flnc_comp              |                   1.089|
|GRB101023951|21 11 52.8|-65 23 09|2010-10-23 22:50:04.727|  76.801|    8.256|    9.216|6.3694e-05|   5.0999e-07|  36.7382|         0.5120|        64.961|  41.1620|       2.1057|  2.990125e-02|          1.586885e-03|          1.586885e-03|   1.478636e+02|           6.576118e+00|           6.576118e+00|  -1.043672e+00|           3.219141e-02|           3.219141e-02| -2.344879e+00|          6.341874e-02|          6.341874e-02|              0.003|            94.210|pflx_comp              |                   1.031|flnc_sbpl              |                   1.344|
