MCXC,OName,AName,RAh,RAm,RAs,DE-,DEd,DEm,DEs,RAdeg,DEdeg,GLON,GLAT,z,Cat,Sub-Cat,Scale,L500,M500,R500,Notes,Cat1,Cat2,Cat3,Cat4,L500r1,L500r2,L500r3,L500r4,r
J0152.5-2853,MACSJ0152.5-2852,,1,52,33.9,-,28,53,33,28.141,-28.892,223.943,-76.403,0.413,MACS,MACS_BRIGHT,5.478,8.6,7.9,1.21,,,,,,,,,,
J0152.6-1358,BVH2007 18,RX J0152.7-1357 (BSHARC),1,52,41.3,-,13,58,13,28.172,-13.97,173.343,-70.576,0.833,400SD,400SD_SER,7.61,6.291151,3.2223,0.7629,,SHARC_BRIGHT,WARPSII,,,1.392,1.676,,,
J0152.7+0100,RXC J0152.7+0100,A0267,1,52,43.6,,1,0,58,28.182,1.016,153.048,-58.226,0.227,NORAS/REFLEX,NORAS,3.638,5.525089,4.9286,1.1133,,SGP,BCS,,,0.692,1.272,,,
J0152.7+3609,RXC J0152.7+3609,A0262,1,52,46.8,,36,9,5,28.195,36.151,136.571,-25.091,0.0163,NORAS/REFLEX,NORAS,0.332,0.419185,1.1891,0.7437,L,BCS,,,,0.896,,,,-0.5009524081627206
J0152.9+3732,RXC J0152.9+3732,A0263,1,52,58.8,,37,32,7,28.245,37.535,136.22,-23.743,0.2993,NORAS/REFLEX,NORAS,4.447,5.161802,4.4682,1.0493,,,,,,,,,,
J0152.9-1345,RXCJ0152.9-1345,NGC0720,1,52,59.0,-,13,45,12,28.246,-13.753,173.037,-70.372,0.005,NORAS/REFLEX,REFLEX,0.103,0.001819,0.0434,0.2476,losStr,SGP,,,,0.793,,,,-0.5056504573370346
J0153.5-0118,RXC J0153.5-0118,,1,53,32.0,-,1,18,44,28.383,-1.312,155.503,-60.197,0.2438,SGP,SGP,3.838,3.621345,3.7602,1.0111,,,,,,,,,,
J0154.2-5937,BVH2007 19,VMF98 20,1,54,12.5,-,59,37,33,28.552,-59.626,288.866,-55.755,0.36,400SD,400SD_SER,5.03,0.845525,1.412,0.6985,,160SD,,,,1.019,,,,
J0155.1+3355,RXC J0155.1+3355,A0272,1,55,9.5,,33,55,20,28.79,33.922,137.756,-27.109,0.0872,NORAS/REFLEX,NORAS,1.632,1.052481,1.9872,0.863,B,BCS,,,,1.716,,,,-0.46690192429269484
J0157.1+4120,RXC J0157.1+4120,A0276,1,57,7.8,,41,20,24,29.282,41.34,135.976,-19.862,0.081,CIZA,CIZAII,1.527,0.868597,1.7753,0.8328,,,,,,,,,,-0.469987349997207
